source_idx,target_idx,ratio
1,1,0.9124901676974669
1,2,0.000017006988834842827
1,3,0.000050014611245410345
1,4,1.5718318780788187e-6
1,5,0.00001070424539313106
1,6,0.00003329565465184612
1,7,6.04990525902786e-7
1,8,0.00024642651130151594
1,9,0.015679345363107
1,10,0.000044854213582849934
1,11,9.565668893420146e-6
1,12,0.00003688646506341025
1,13,0.000030004480780062422
1,14,0.000018530031837469036
1,15,0.000048626627030820825
1,16,0.00001117845462789015
1,17,0.000017083009695465502
1,18,0.000025052155812899922
1,19,0.000048173678226163464
1,20,0.012161824693926647
1,21,0.000020320016057089786
1,22,0.000102998017091819
1,23,0.00002825290932956978
1,24,0.00019246995373622784
1,25,0.00005803330856447629
1,26,0.015876727153820082
1,27,0.000015931134839077407
1,28,0.0008226510823563009
1,29,0.000020345808092810812
1,30,0.00002707566595200448
1,31,0.006016335505763224
1,32,0.00003535554469026827
1,33,0.00013001400984459329
1,34,0.00017337834161360193
1,35,4.837256065595968e-6
1,36,0.000029537132480913774
1,37,0.00012199103502863484
1,38,3.7462826006148244e-6
1,39,0.0012191459488861375
1,40,0.00005016559418029621
1,41,0.00003870418948565374
1,42,0.000047231908934983935
1,43,0.000038010557365721275
1,44,0.00005885204688066478
1,45,0.00008911050933267942
1,46,0.00018896160160635305
1,47,0.00033692276022170256
1,48,0.03247341988428648
1,49,0.00006765776127658399
1,50,0.000730899705733933
2,1,0.000014361534318427851
2,2,0.940442323209213
2,3,0.007982041917762842
2,4,0.00025759666403358497
2,5,0.00003941629247784659
2,6,0.00011266884204829411
2,7,3.976343716009799e-6
2,8,0.0002463066436542966
2,9,0.00003819420275439476
2,10,0.00007161954473152346
2,11,0.000045732953936461895
2,12,0.0003506709177558907
2,13,0.00805153731917167
2,14,0.00018284236566954402
2,15,6.138741133406375e-6
2,16,0.01716919445658873
2,17,0.00004024273606279469
2,18,0.00016123476277837012
2,19,0.00029936107204708775
2,20,0.000014585220748400167
2,21,0.000031392485907113394
2,22,0.000019577359694222336
2,23,0.0014514192243720934
2,24,0.000028705309265247994
2,25,0.00003848639545001666
2,26,0.000027944922377451872
2,27,5.5401482448765925e-6
2,28,0.0021287817031210472
2,29,0.0000722285891123097
2,30,0.011294314921953067
2,31,0.00004908698477565687
2,32,8.546707792687188e-6
2,33,0.000027644278670513262
2,34,0.00002469638628822022
2,35,5.398277402724013e-6
2,36,4.7913559813023966e-6
2,37,0.00003075612883757905
2,38,3.3806494835354996e-6
2,39,0.000013428412025409341
2,40,0.0000432610127132521
2,41,0.00017722048348913093
2,42,0.00001607035330235247
2,43,0.00014718362961473004
2,44,0.00006056268244706397
2,45,0.0016507964223572795
2,46,0.006882590943449105
2,47,0.0000537683551314171
2,48,0.000020554125132639683
2,49,0.00004293370953583137
2,50,0.000108280725867838
2,51,6.115756015670573e-7
3,1,8.118529434020446e-6
3,2,0.0014481263879773576
3,3,0.9689514282345134
3,4,0.00023301418338452979
3,5,5.538704368640193e-6
3,6,0.000010541983778930162
3,7,0.00008317225919439102
3,8,0.0002150383853178267
3,9,0.000010875751790573945
3,10,8.12064130653442e-6
3,11,0.000018825538770960212
3,12,0.0004128168666330377
3,13,0.00007809238408790356
3,14,0.000021391824813641848
3,15,7.206023878649076e-6
3,16,0.0000880835454379725
3,17,0.0000621957513895777
3,18,0.0001240234917146398
3,19,0.000025527239813737514
3,20,8.76950069726212e-6
3,21,8.755531620524263e-6
3,22,6.8915699010875665e-6
3,23,0.00004191573913987081
3,24,9.862452319763253e-6
3,25,0.000012887805690226435
3,26,0.000016124131285066772
3,27,2.0256466791060246e-6
3,28,0.0005906113050319562
3,29,0.000056243196803564077
3,30,0.014725509684666115
3,31,0.00004802285975529758
3,32,2.467220022935538e-6
3,33,7.93785298079825e-6
3,34,3.4167716619700772e-6
3,35,4.549779746408867e-6
3,36,6.232066672889474e-6
3,37,8.020907167120269e-6
3,38,9.1136975193567e-6
3,39,5.522231763031248e-6
3,40,0.000011116244152928123
3,41,0.00004993514879739034
3,42,2.297709615659901e-6
3,43,0.0000850437238209047
3,44,0.00003475583087739051
3,45,0.00006859775084424574
3,46,0.01226469847293407
3,47,0.00001922665631695853
3,48,0.000011056121062339572
3,49,8.394332304808141e-6
3,50,0.000057308985905767386
3,51,2.9317398215713336e-7
3,52,2.5817065518017956e-7
4,1,2.536570239639732e-6
4,2,0.00009732831402798215
4,3,0.0005967510199816746
4,4,0.9782750619556909
4,5,3.7290292656854114e-6
4,6,0.000015433368932006536
4,7,4.071544092315555e-6
4,8,0.00023002242721230327
4,9,4.041102306667655e-6
4,10,7.017000602408241e-6
4,11,0.00013888900662187056
4,12,0.00008611350849794521
4,13,0.00006376832318696443
4,14,0.0001434311954341642
4,15,4.087848641127628e-6
4,16,0.00002786678041697659
4,17,0.00009051778468760405
4,18,0.007180206531265971
4,19,0.000014393337553757555
4,20,2.684126406388961e-6
4,21,0.000037023335495450656
4,22,3.4117864897139786e-6
4,23,0.0005666926099504143
4,24,4.695829359452826e-6
4,25,0.000010686478497737375
4,26,4.654212992789821e-6
4,27,5.295796988544776e-7
4,28,0.0004581578415027623
4,29,0.0009956136117296773
4,30,0.009843627373562949
4,31,0.000036756815773161647
4,32,1.5092643629026498e-6
4,33,4.904925256169565e-6
4,34,5.951557988327784e-7
4,35,2.5930993033869415e-6
4,36,3.963198377099741e-6
4,37,4.0406251003609604e-6
4,38,6.767978444698022e-7
4,39,2.6580391282896512e-6
4,40,4.9953160840959965e-6
4,41,0.0002825887499051272
4,42,2.2192479292838462e-6
4,43,0.00011351572857535489
4,44,0.000022043073951650764
4,45,0.000049347049180669317
4,46,0.0004391695043054373
4,47,0.000014001491525172845
4,48,3.393195327348994e-6
4,49,3.19591028672295e-6
4,50,0.00005490019955369532
4,51,9.283054516940357e-7
4,52,0.00003896087263501569
5,1,0.000035230769223852746
5,2,0.00016454215127793974
5,3,0.00008437550414894383
5,4,0.000012782643472944408
5,5,0.8868413389441331
5,6,0.000205015424141836
5,7,1.4297947866802077e-6
5,8,0.000058517306245135664
5,9,0.0005819225387118465
5,10,0.005425675183151496
5,11,0.000016083916816712025
5,12,0.000019667441384171163
5,13,0.00017629080053076007
5,14,0.000026937959461107653
5,15,0.00007350778923673392
5,16,0.00012267859416401324
5,17,6.963818984526249e-6
5,18,0.00003889887646507831
5,19,0.00021878838009790487
5,20,0.00002514805104420038
5,21,0.00001545093716358123
5,22,0.000010999687056620671
5,23,0.00007737217462776806
5,24,0.0006454958032480338
5,25,0.000011240342143487337
5,26,0.0000289582108306827
5,27,0.00005385425185373007
5,28,0.04296991714132514
5,29,0.000032222059237975654
5,30,0.00009503129891003255
5,31,0.00004327585603247147
5,32,0.00007288639625124259
5,33,0.00016900232311898276
5,34,0.000531383000736348
5,35,0.00003738507833801373
5,36,0.00009477673982199859
5,37,0.017449069584633013
5,38,0.000042200033942169546
5,39,0.0001019439048235932
5,40,0.013622518602908166
5,41,0.0000631379534329817
5,42,0.00016449719500749967
5,43,4.689008526917465e-6
5,44,7.354057950615316e-6
5,45,0.01552341455046481
5,46,0.00021648946937160638
5,47,0.01278150496698219
5,48,0.00006446393167761423
5,49,0.0008659199890832453
5,50,0.00006462382769103551
5,51,1.5551625305366097e-6
5,52,1.570572798496776e-6
6,1,0.000027430508326723
6,2,0.0000668493789761786
6,3,0.00003993302334561355
6,4,0.00002260375792687811
6,5,0.00004554832729087622
6,6,0.9720111063494459
6,7,2.0410427953760402e-6
6,8,0.000053630207091770984
6,9,0.00003773747968623381
6,10,0.016040120652313285
6,11,0.00036090530793832
6,12,0.000013252377178337628
6,13,0.0008302875709701874
6,14,0.0017180089673282293
6,15,0.00001757849761766862
6,16,0.00003544761374264694
6,17,4.805022587947166e-6
6,18,0.00007518956227731935
6,19,0.00005965511518092626
6,20,0.000025937376943000436
6,21,0.002260392034407668
6,22,0.000011189582509256692
6,23,0.00011392765221578677
6,24,0.000030407483236590495
6,25,0.000010489552352511898
6,26,0.000013482576487778981
6,27,8.998105295293078e-6
6,28,0.0013879924750176405
6,29,0.00014563918915515617
6,30,0.0000667560913496808
6,31,0.000024915592300434642
6,32,0.00001199712082055189
6,33,0.00002819735812205023
6,34,0.00002360126420598339
6,35,2.735514674658604e-6
6,36,0.000015414715543787218
6,37,0.00031459677191090254
