id,date,value
08,2021-09-23,84
09,2021-09-23,575
10,2021-09-23,154
11,2021-09-23,37
12,2021-09-23,43
13,2021-09-23,308
14,2021-09-23,95
15,2021-09-23,18
16,2021-09-23,73
17,2021-09-23,10
18,2021-09-23,7
19,2021-09-23,2
01,2021-09-22,383
02,2021-09-22,97
03,2021-09-22,21
04,2021-09-22,77
05,2021-09-22,76
06,2021-09-22,32
07,2021-09-22,50
08,2021-09-22,115
09,2021-09-22,579
10,2021-09-22,197
11,2021-09-22,54
12,2021-09-22,43
13,2021-09-22,323
14,2021-09-22,97
15,2021-09-22,19
16,2021-09-22,98
17,2021-09-22,17
18,2021-09-22,3
19,2021-09-22,5
01,2021-09-21,405
02,2021-09-21,92
03,2021-09-21,13
04,2021-09-21,76
05,2021-09-21,93
06,2021-09-21,36
07,2021-09-21,84
08,2021-09-21,96
09,2021-09-21,618
10,2021-09-21,168
11,2021-09-21,46
12,2021-09-21,63
13,2021-09-21,353
14,2021-09-21,86
15,2021-09-21,25
16,2021-09-21,138
17,2021-09-21,19
18,2021-09-21,6
19,2021-09-21,12
01,2021-09-20,358
02,2021-09-20,99
03,2021-09-20,15
04,2021-09-20,92
05,2021-09-20,99
06,2021-09-20,43
07,2021-09-20,86
08,2021-09-20,113
09,2021-09-20,444
10,2021-09-20,218
11,2021-09-20,37
12,2021-09-20,62
13,2021-09-20,405
14,2021-09-20,109
15,2021-09-20,27
16,2021-09-20,109
17,2021-09-20,6
18,2021-09-20,8
19,2021-09-20,12
01,2021-09-19,211
02,2021-09-19,90
03,2021-09-19,7
04,2021-09-19,56
05,2021-09-19,67
06,2021-09-19,26
07,2021-09-19,45
08,2021-09-19,59
09,2021-09-19,250
10,2021-09-19,134
11,2021-09-19,20
12,2021-09-19,62
13,2021-09-19,260
14,2021-09-19,61
15,2021-09-19,12
16,2021-09-19,106
17,2021-09-19,8
18,2021-09-19,5
19,2021-09-19,11
01,2021-09-18,275
02,2021-09-18,67
03,2021-09-18,12
04,2021-09-18,75
05,2021-09-18,71
06,2021-09-18,26
07,2021-09-18,56
08,2021-09-18,95
09,2021-09-18,256
10,2021-09-18,166
11,2021-09-18,36
12,2021-09-18,90
13,2021-09-18,293
14,2021-09-18,86
15,2021-09-18,24
16,2021-09-18,120
17,2021-09-18,11
18,2021-09-18,3
19,2021-09-18,4
01,2021-09-17,453
02,2021-09-17,76
03,2021-09-17,10
04,2021-09-17,76
05,2021-09-17,104
06,2021-09-17,48
07,2021-09-17,77
08,2021-09-17,121
09,2021-09-17,498
10,2021-09-17,207
11,2021-09-17,54
12,2021-09-17,70
13,2021-09-17,423
14,2021-09-17,112
15,2021-09-17,20
16,2021-09-17,112
17,2021-09-17,10
18,2021-09-17,8
19,2021-09-17,10
01,2021-09-16,456
02,2021-09-16,71
03,2021-09-16,6
04,2021-09-16,85
05,2021-09-16,104
06,2021-09-16,30
07,2021-09-16,90
08,2021-09-16,140
09,2021-09-16,531
10,2021-09-16,206
11,2021-09-16,48
12,2021-09-16,94
13,2021-09-16,397
14,2021-09-16,115
15,2021-09-16,26
16,2021-09-16,74
17,2021-09-16,15
18,2021-09-16,8
19,2021-09-16,7
01,2021-09-15,474
02,2021-09-15,92
03,2021-09-15,9
04,2021-09-15,70
05,2021-09-15,87
06,2021-09-15,46
07,2021-09-15,74
08,2021-09-15,129
09,2021-09-15,407
10,2021-09-15,206
11,2021-09-15,50
12,2021-09-15,107
13,2021-09-15,393
14,2021-09-15,107
15,2021-09-15,29
16,2021-09-15,113
17,2021-09-15,9
18,2021-09-15,8
19,2021-09-15,4
01,2021-09-14,509
02,2021-09-14,75
03,2021-09-14,17
04,2021-09-14,105
05,2021-09-14,107
06,2021-09-14,40
07,2021-09-14,142
08,2021-09-14,167
09,2021-09-14,685
10,2021-09-14,236
11,2021-09-14,56
12,2021-09-14,89
13,2021-09-14,443
14,2021-09-14,106
15,2021-09-14,40
16,2021-09-14,191
17,2021-09-14,13
18,2021-09-14,14
19,2021-09-14,9
01,2021-09-13,453
02,2021-09-13,110
03,2021-09-13,15
04,2021-09-13,113
05,2021-09-13,127
06,2021-09-13,42
07,2021-09-13,102
08,2021-09-13,151
09,2021-09-13,792
10,2021-09-13,223
11,2021-09-13,57
12,2021-09-13,103
13,2021-09-13,474
14,2021-09-13,86
15,2021-09-13,30
16,2021-09-13,173
17,2021-09-13,16
18,2021-09-13,13
19,2021-09-13,12
01,2021-09-12,245
02,2021-09-12,67
03,2021-09-12,7
04,2021-09-12,66
05,2021-09-12,81
06,2021-09-12,34
07,2021-09-12,69
08,2021-09-12,107
09,2021-09-12,343
10,2021-09-12,148
11,2021-09-12,36
12,2021-09-12,69
13,2021-09-12,346
14,2021-09-12,82
15,2021-09-12,34
16,2021-09-12,193
17,2021-09-12,6
18,2021-09-12,12
19,2021-09-12,12
01,2021-09-11,299
02,2021-09-11,91
03,2021-09-11,12
04,2021-09-11,91
05,2021-09-11,88
06,2021-09-11,45
07,2021-09-11,95
08,2021-09-11,114
09,2021-09-11,314
10,2021-09-11,177
11,2021-09-11,42
12,2021-09-11,96
13,2021-09-11,335
14,2021-09-11,66
15,2021-09-11,51
16,2021-09-11,187
17,2021-09-11,8
18,2021-09-11,13
19,2021-09-11,10
01,2021-09-10,436
02,2021-09-10,90
03,2021-09-10,17
04,2021-09-10,116
05,2021-09-10,99
06,2021-09-10,47
07,2021-09-10,96
08,2021-09-10,181
09,2021-09-10,640
10,2021-09-10,278
11,2021-09-10,66
12,2021-09-10,94
13,2021-09-10,459
14,2021-09-10,77
15,2021-09-10,39
16,2021-09-10,196
17,2021-09-10,16
18,2021-09-10,6
19,2021-09-10,25
01,2021-09-09,465
02,2021-09-09,119
03,2021-09-09,16
04,2021-09-09,130
05,2021-09-09,111
06,2021-09-09,63
07,2021-09-09,107
08,2021-09-09,210
09,2021-09-09,655
10,2021-09-09,217
11,2021-09-09,71
12,2021-09-09,133
13,2021-09-09,408
14,2021-09-09,99
15,2021-09-09,44
16,2021-09-09,130
17,2021-09-09,15
18,2021-09-09,6
19,2021-09-09,6
01,2021-09-08,493
02,2021-09-08,116
03,2021-09-08,14
04,2021-09-08,129
05,2021-09-08,95
06,2021-09-08,52
07,2021-09-08,103
08,2021-09-08,191
09,2021-09-08,708
10,2021-09-08,222
11,2021-09-08,65
12,2021-09-08,170
13,2021-09-08,525
14,2021-09-08,114
15,2021-09-08,55
16,2021-09-08,180
17,2021-09-08,23
18,2021-09-08,16
19,2021-09-08,12
01,2021-09-07,548
02,2021-09-07,113
03,2021-09-07,22
04,2021-09-07,133
05,2021-09-07,130
06,2021-09-07,55
07,2021-09-07,187
08,2021-09-07,222
09,2021-09-07,753
10,2021-09-07,255
11,2021-09-07,125
12,2021-09-07,155
13,2021-09-07,563
14,2021-09-07,112
15,2021-09-07,67
16,2021-09-07,228
17,2021-09-07,24
18,2021-09-07,13
19,2021-09-07,16
01,2021-09-06,565
02,2021-09-06,111
03,2021-09-06,18
04,2021-09-06,121
05,2021-09-06,137
06,2021-09-06,53
07,2021-09-06,150
08,2021-09-06,212
09,2021-09-06,910
10,2021-09-06,276
11,2021-09-06,118
12,2021-09-06,167
13,2021-09-06,518
14,2021-09-06,119
15,2021-09-06,54
16,2021-09-06,214
17,2021-09-06,21
18,2021-09-06,20
19,2021-09-06,17
01,2021-09-05,387
02,2021-09-05,94
03,2021-09-05,24
04,2021-09-05,90
05,2021-09-05,81
06,2021-09-05,44
07,2021-09-05,109
08,2021-09-05,130
09,2021-09-05,440
10,2021-09-05,166
11,2021-09-05,61
12,2021-09-05,148
13,2021-09-05,440
14,2021-09-05,81
15,2021-09-05,35
16,2021-09-05,233
17,2021-09-05,16
18,2021-09-05,9
19,2021-09-05,16
01,2021-09-04,484
02,2021-09-04,157
03,2021-09-04,29
04,2021-09-04,139
05,2021-09-04,122
06,2021-09-04,69
07,2021-09-04,134
08,2021-09-04,180
09,2021-09-04,479
10,2021-09-04,221
11,2021-09-04,100
12,2021-09-04,178
13,2021-09-04,465
14,2021-09-04,94
15,2021-09-04,48
16,2021-09-04,249
17,2021-09-04,18
18,2021-09-04,4
19,2021-09-04,30
01,2021-09-03,659
02,2021-09-03,133
03,2021-09-03,22
04,2021-09-03,155
05,2021-09-03,112
06,2021-09-03,78
07,2021-09-03,207
08,2021-09-03,252
09,2021-09-03,568
10,2021-09-03,292
11,2021-09-03,118
12,2021-09-03,210
13,2021-09-03,687
14,2021-09-03,129
15,2021-09-03,58
16,2021-09-03,246
17,2021-09-03,26
18,2021-09-03,13
19,2021-09-03,19
01,2021-09-02,672
02,2021-09-02,158
03,2021-09-02,29
04,2021-09-02,170
05,2021-09-02,118
06,2021-09-02,65
07,2021-09-02,182
08,2021-09-02,243
09,2021-09-02,737
10,2021-09-02,292
11,2021-09-02,144
12,2021-09-02,243
13,2021-09-02,610
14,2021-09-02,116
15,2021-09-02,69
16,2021-09-02,217
17,2021-09-02,29
18,2021-09-02,24
19,2021-09-02,15
01,2021-09-01,822
02,2021-09-01,190
03,2021-09-01,24
04,2021-09-01,197
05,2021-09-01,146
06,2021-09-01,75
07,2021-09-01,211
08,2021-09-01,276
09,2021-09-01,815
10,2021-09-01,434
11,2021-09-01,149
12,2021-09-01,233
13,2021-09-01,768
14,2021-09-01,169
15,2021-09-01,84
16,2021-09-01,223
17,2021-09-01,34
18,2021-09-01,18
19,2021-09-01,27
01,2021-08-31,957
02,2021-08-31,188
03,2021-08-31,32
04,2021-08-31,92
05,2021-08-31,137
06,2021-08-31,74
07,2021-08-31,238
08,2021-08-31,365
09,2021-08-31,840
10,2021-08-31,406
11,2021-08-31,178
12,2021-08-31,268
13,2021-08-31,794
14,2021-08-31,197
15,2021-08-31,122
16,2021-08-31,296
17,2021-08-31,33
18,2021-08-31,18
19,2021-08-31,16
01,2021-08-30,860
02,2021-08-30,186
03,2021-08-30,57
04,2021-08-30,97
05,2021-08-30,141
06,2021-08-30,75
07,2021-08-30,279
08,2021-08-30,304
09,2021-08-30,1003
10,2021-08-30,469
11,2021-08-30,195
12,2021-08-30,295
13,2021-08-30,911
14,2021-08-30,182
15,2021-08-30,82
16,2021-08-30,347
17,2021-08-30,45
18,2021-08-30,13
19,2021-08-30,39
01,2021-08-29,563
02,2021-08-29,123
03,2021-08-29,54
04,2021-08-29,103
05,2021-08-29,148
06,2021-08-29,82
07,2021-08-29,169
08,2021-08-29,212
09,2021-08-29,539
10,2021-08-29,273
11,2021-08-29,177
12,2021-08-29,266
13,2021-08-29,629
14,2021-08-29,126
15,2021-08-29,73
16,2021-08-29,365
17,2021-08-29,27
18,2021-08-29,18
19,2021-08-29,13
01,2021-08-28,752
02,2021-08-28,142
03,2021-08-28,54
04,2021-08-28,131
05,2021-08-28,130
06,2021-08-28,97
07,2021-08-28,220
08,2021-08-28,254
09,2021-08-28,605
10,2021-08-28,356
11,2021-08-28,191
12,2021-08-28,342
13,2021-08-28,750
