"OD","origen_province","destino_province","viajes"
"37-17",37,17,9.46486666666667
"37-18",37,18,14.9579333333333
"37-19",37,19,57.9033
"37-2",37,2,35.8120333333333
"37-20",37,20,61.8625666666667
"37-21",37,21,59.6031666666667
"37-22",37,22,8.42906666666667
"37-23",37,23,13.4769666666667
"37-24",37,24,800.754233333333
"37-25",37,25,16.5718
"37-26",37,26,46.6602333333333
"37-27",37,27,37.4566666666667
"37-28",37,28,1904.36126666667
"37-29",37,29,33.8845666666667
"37-3",37,3,28.9777333333333
"37-30",37,30,42.6226333333333
"37-31",37,31,44.9911666666667
"37-32",37,32,64.1709
"37-33",37,33,152.314733333333
"37-34",37,34,384.301066666667
"37-35",37,35,1.99856666666667
"37-36",37,36,61.9763
"37-37",37,37,713471.6735
"37-38",37,38,2.5918
"37-39",37,39,108.812133333333
"37-4",37,4,9.11616666666667
"37-40",37,40,583.143633333333
"37-41",37,41,186.1275
"37-42",37,42,85.4099
"37-43",37,43,8.98036666666667
"37-44",37,44,5.4444
"37-45",37,45,213.194466666667
"37-46",37,46,70.3386666666667
"37-47",37,47,4503.38806666667
"37-48",37,48,98.3029
"37-49",37,49,6552.17216666667
"37-5",37,5,4935.7959
"37-50",37,50,59.4670666666667
"37-51",37,51,0.751633333333333
"37-52",37,52,0.2224
"37-6",37,6,443.778366666667
"37-7",37,7,0.886733333333333
"37-8",37,8,51.9654666666667
"37-9",37,9,518.3671
"38-10",38,10,5.25403333333333
"38-11",38,11,22.4540333333333
"38-12",38,12,4.86313333333333
"38-13",38,13,3.1322
"38-14",38,14,13.1513666666667
"38-15",38,15,31.4823666666667
"38-16",38,16,2.67846666666667
"38-17",38,17,7.4055
"38-18",38,18,23.2458666666667
"38-19",38,19,8.93533333333333
"38-2",38,2,6.8631
"38-20",38,20,10.5473333333333
"38-21",38,21,6.9888
"38-22",38,22,1.5941
"38-23",38,23,6.76266666666667
"38-24",38,24,4.6815
"38-25",38,25,2.48993333333333
"38-26",38,26,3.5932
"38-27",38,27,4.31166666666667
"38-28",38,28,686.5787
"38-29",38,29,38.8987666666667
"38-3",38,3,28.8228666666667
"38-30",38,30,24.4496333333333
"38-31",38,31,8.15383333333333
"38-32",38,32,5.9747
"38-33",38,33,14.9117
"38-34",38,34,3.00096666666667
"38-35",38,35,3274.43426666667
"38-36",38,36,30.4211
"38-37",38,37,7.12696666666667
"38-38",38,38,2686160.42796667
"38-39",38,39,11.3612333333333
"38-4",38,4,5.39833333333333
"38-40",38,40,4.68786666666667
"38-41",38,41,74.2351333333333
"38-42",38,42,1.06663333333333
"38-43",38,43,6.67093333333333
"38-44",38,44,0.259333333333333
"38-45",38,45,11.0060333333333
"38-46",38,46,44.8872
"38-47",38,47,7.168
"38-48",38,48,21.2789666666667
"38-49",38,49,1.18726666666667
"38-5",38,5,4.142
"38-50",38,50,25.7517
"38-51",38,51,1.0333
"38-52",38,52,2.74376666666667
"38-6",38,6,8.78683333333333
"38-7",38,7,37.0182
"38-8",38,8,167.814033333333
"38-9",38,9,7.88543333333333
"39-1",39,1,903.4665
"39-10",39,10,38.4928333333333
"39-11",39,11,7.68086666666667
"39-12",39,12,19.4681
"39-13",39,13,26.8965333333333
"39-14",39,14,11.729
"39-15",39,15,183.516933333333
"39-16",39,16,31.6923
"39-17",39,17,10.2128666666667
"39-18",39,18,8.44433333333333
"39-19",39,19,40.1569666666667
"39-2",39,2,24.1331333333333
"39-20",39,20,835.078533333333
"39-21",39,21,6.97236666666667
"39-22",39,22,37.6005333333333
"39-23",39,23,16.1375
"39-24",39,24,360.9098
"39-25",39,25,33.6129
"39-26",39,26,405.124466666667
"39-27",39,27,133.610933333333
"39-28",39,28,1210.79836666667
"39-29",39,29,12.6916666666667
"39-3",39,3,30.2839333333333
"39-30",39,30,19.8944666666667
"39-31",39,31,345.048633333333
"39-32",39,32,37.1929333333333
"39-33",39,33,5065.59383333333
"39-34",39,34,2672.24546666667
"39-35",39,35,8.59686666666667
"39-36",39,36,89.6792666666667
"39-37",39,37,124.8404
"39-38",39,38,8.7104
"39-39",39,39,1443626.244
"39-4",39,4,2.17933333333333
"39-40",39,40,75.7429666666667
"39-41",39,41,17.1680666666667
"39-42",39,42,43.3055666666667
"39-43",39,43,25.4240333333333
"39-44",39,44,26.6888333333333
"39-45",39,45,58.8387333333333
"39-46",39,46,64.7659333333333
"39-47",39,47,518.447833333333
"39-48",39,48,21773.0888
"39-49",39,49,71.5402
"39-5",39,5,35.2494666666667
"39-50",39,50,216.578366666667
"39-51",39,51,0.205533333333333
"39-6",39,6,28.0272333333333
"39-7",39,7,7.29083333333333
"39-8",39,8,145.476366666667
"39-9",39,9,4144.96186666667
"4-1",4,1,4.25236666666667
"4-10",4,10,11.7634666666667
"4-11",4,11,232.836833333333
"4-12",4,12,144.362733333333
"4-13",4,13,106.902733333333
"4-14",4,14,240.451466666667
"4-15",4,15,6.85296666666667
"4-16",4,16,46.7165333333333
"4-17",4,17,151.746166666667
"4-18",4,18,12037.0689666667
"4-19",4,19,24.1293333333333
"4-2",4,2,163.1635
"4-20",4,20,4.49973333333333
"4-21",4,21,62.0668
"4-22",4,22,5.7196
"4-23",4,23,950.016966666667
"4-24",4,24,7.8722
"4-25",4,25,17.9150666666667
"4-26",4,26,7.80243333333333
"4-27",4,27,0.8878
"4-28",4,28,768.0667
"4-29",4,29,1669.07033333333
"4-3",4,3,1000.4076
"4-30",4,30,16502.091
"4-31",4,31,61.62
"4-32",4,32,2.53016666666667
"4-33",4,33,8.22273333333333
"4-34",4,34,0.997733333333333
"4-35",4,35,4.34713333333333
"4-36",4,36,6.644
"4-37",4,37,6.7738
"4-38",4,38,1.1346
"4-39",4,39,4.456
"4-4",4,4,1640003.5762
"4-40",4,40,8.37426666666667
"4-41",4,41,473.7385
"4-42",4,42,3.7204
"4-43",4,43,190.300466666667
"4-44",4,44,36.9535333333333
"4-45",4,45,82.7265666666667
"4-46",4,46,736.2342
"4-47",4,47,23.4724333333333
"4-48",4,48,5.68843333333333
"4-49",4,49,5.3577
"4-5",4,5,6.25143333333333
"4-50",4,50,92.036
"4-51",4,51,1.55623333333333
"4-52",4,52,65.3149333333333
"4-6",4,6,25.8728666666667
"4-7",4,7,6.82563333333333
"4-8",4,8,385.615066666667
"4-9",4,9,6.7746
"40-1",40,1,46.0414333333333
"40-10",40,10,33.0380333333333
"40-11",40,11,10.2016
"40-12",40,12,15.8438
"40-13",40,13,66.8114333333333
"40-14",40,14,13.392
"40-15",40,15,34.5857666666667
"40-16",40,16,94.7387333333333
"40-17",40,17,2.65766666666667
"40-18",40,18,15.5314
"40-19",40,19,316.995566666667
"40-2",40,2,57.9143
"40-20",40,20,38.7042333333333
"40-21",40,21,3.09
"40-22",40,22,14.6917
"40-23",40,23,37.0392
"40-24",40,24,257.383966666667
"40-25",40,25,12.0304333333333
"40-26",40,26,43.7919
"40-27",40,27,17.8574333333333
"40-28",40,28,8768.0175
"40-29",40,29,18.0708
"40-3",40,3,50.1578333333333
"40-30",40,30,74.7315333333333
"40-31",40,31,39.3296
"40-32",40,32,20.2769333333333
"40-33",40,33,38.3638666666667
"40-34",40,34,253.350733333333
"40-35",40,35,3.10136666666667
"40-36",40,36,23.1387
"40-37",40,37,561.369266666667
"40-38",40,38,1.54933333333333
"40-39",40,39,79.7638666666667
"40-4",40,4,8.26213333333333
"40-40",40,40,262025.4273
"40-41",40,41,18.4601333333333
"40-42",40,42,497.5043
"40-43",40,43,8.78606666666667
"40-44",40,44,13.8879
"40-45",40,45,331.4372
"40-46",40,46,95.6697666666667
"40-47",40,47,9415.46286666667
"40-48",40,48,85.6411666666667
"40-49",40,49,214.608033333333
"40-5",40,5,3915.05553333333
"40-50",40,50,71.6979333333333
"40-6",40,6,21.3472333333333
"40-7",40,7,0.716833333333333
"40-8",40,8,48.6619333333333
"40-9",40,9,1343.75303333333
"41-1",41,1,29.1956333333333
"41-10",41,10,628.634866666667
"41-11",41,11,27363.9922666667
"41-12",41,12,93.4543666666667
"41-13",41,13,662.782166666667
"41-14",41,14,22982.2516333333
"41-15",41,15,48.7437666666667
"41-16",41,16,86.0820666666667
"41-17",41,17,36.8785
"41-18",41,18,1988.23743333333
"41-19",41,19,83.8563
"41-2",41,2,124.152233333333
"41-20",41,20,31.8481333333333
"41-21",41,21,22990.2097666667
"41-22",41,22,15.7003333333333
"41-23",41,23,1824.75813333333
"41-24",41,24,38.6903666666667
"41-25",41,25,22.2770333333333
"41-26",41,26,21.4014333333333
"41-27",41,27,10.9118333333333
"41-28",41,28,2045.97773333333
"41-29",41,29,9956.84203333333
"41-3",41,3,198.964866666667
"41-30",41,30,348.761
"41-31",41,31,41.9937
"41-32",41,32,14.6078666666667
"41-33",41,33,46.2326333333333
"41-34",41,34,27.3627666666667
"41-35",41,35,121.842
"41-36",41,36,32.9094333333333
"41-37",41,37,138.104066666667
"41-38",41,38,98.0315666666667
"41-39",41,39,18.7168666666667
"41-4",41,4,494.082633333333
"41-40",41,40,24.0155
"41-41",41,41,4489341.4907
"41-42",41,42,17.4401666666667
"41-43",41,43,70.098
"41-44",41,44,6.80723333333333
"41-45",41,45,271.644566666667
"41-46",41,46,462.0865
"41-47",41,47,86.8096666666667
"41-48",41,48,78.8117
"41-49",41,49,43.0994
"41-5",41,5,20.9430666666667
"41-50",41,50,89.6702333333333
"41-51",41,51,24.7578
"41-52",41,52,17.6952
"41-6",41,6,4076.8375
"41-7",41,7,145.678133333333
"41-8",41,8,443.374666666667
"41-9",41,9,58.8111333333333
"42-1",42,1,37.8984
"42-10",42,10,13.3599666666667
"42-11",42,11,2.7104
"42-12",42,12,39.3057
"42-13",42,13,43.6308666666667
"42-14",42,14,10.7743
"42-15",42,15,16.4871
"42-16",42,16,28.133
"42-17",42,17,19.0223666666667
"42-18",42,18,12.6143
"42-19",42,19,426.812233333333
"42-2",42,2,14.4819
"42-20",42,20,49.8635333333333
"42-21",42,21,1.35913333333333
"42-22",42,22,69.1497666666667
"42-23",42,23,18.1814666666667
"42-24",42,24,111.754466666667
"42-25",42,25,65.4379666666667
"42-26",42,26,641.837066666667
"42-27",42,27,5.1936
"42-28",42,28,1032.59403333333
"42-29",42,29,12.9623
"42-3",42,3,12.9679666666667
"42-30",42,30,10.5477
"42-31",42,31,671.782466666667
"42-32",42,32,6.3758
"42-33",42,33,16.9529666666667
"42-34",42,34,127.0998
"42-35",42,35,1.10923333333333
"42-36",42,36,10.8168333333333
"42-37",42,37,92.1309666666667
"42-38",42,38,0.197766666666667
"42-39",42,39,36.3683666666667
"42-4",42,4,3.65246666666667
"42-40",42,40,490.565533333333
"42-41",42,41,15.1626
"42-42",42,42,165650.795266667
"42-43",42,43,26.4516666666667
"42-44",42,44,49.9863666666667
"42-45",42,45,104.785766666667
"42-46",42,46,69.9202666666667
"42-47",42,47,539.550866666667
"42-48",42,48,58.713
"42-49",42,49,74.4718666666667
"42-5",42,5,49.2583333333333
"42-50",42,50,2223.0526
"42-6",42,6,12.3348666666667
"42-7",42,7,0.533666666666667
"42-8",42,8,186.484366666667
"42-9",42,9,2529.56273333333
"43-1",43,1,45.4956
"43-10",43,10,4.90563333333333
"43-11",43,11,15.9768333333333
"43-12",43,12,10139.3617
"43-13",43,13,94.7558333333333
"43-14",43,14,43.1089666666667
"43-15",43,15,6.94763333333333
"43-16",43,16,105.220266666667
"43-17",43,17,1590.1483
"43-18",43,18,45.5366333333333
"43-19",43,19,77.9848666666667
"43-2",43,2,136.987666666667
"43-20",43,20,32.2909333333333
"43-21",43,21,12.7126
"43-22",43,22,678.4483
"43-23",43,23,74.5843333333333
"43-24",43,24,35.188
"43-25",43,25,9109.67573333333
"43-26",43,26,92.5621666666667
"43-27",43,27,2.9469
"43-28",43,28,530.792066666667
"43-29",43,29,30.309
"43-3",43,3,373.771066666667
"43-30",43,30,288.111933333333
"43-31",43,31,168.583633333333
"43-32",43,32,3.53176666666667
"43-33",43,33,13.6469666666667
"43-34",43,34,13.4493666666667
"43-35",43,35,5.46886666666667
"43-36",43,36,4.3285
"43-37",43,37,9.8506
"43-38",43,38,4.62946666666667
"43-39",43,39,23.0714
"43-4",43,4,80.2515333333333
"43-40",43,40,10.7172
"43-41",43,41,58.6759333333333
"43-42",43,42,34.9001666666667
"43-43",43,43,1695538.82413333
"43-44",43,44,1443.89166666667
"43-45",43,45,59.0368666666667
"43-46",43,46,2069.2808
"43-47",43,47,23.7266
"43-48",43,48,57.5863
"43-49",43,49,18.6121666666667
"43-5",43,5,4.78676666666667
"43-50",43,50,1607.803
"43-6",43,6,13.4547666666667
"43-7",43,7,21.8006333333333
"43-8",43,8,69839.7116
"43-9",43,9,50.6873666666667
"44-1",44,1,31.6024333333333
"44-10",44,10,8.22743333333333
"44-11",44,11,1.59176666666667
"44-12",44,12,2807.4614
"44-13",44,13,28.9568333333333
"44-14",44,14,10.5121
"44-15",44,15,6.7729
"44-16",44,16,161.124333333333
"44-17",44,17,47.9285
"44-18",44,18,8.73513333333333
"44-19",44,19,307.035833333333
"44-2",44,2,45.5392
"44-20",44,20,23.2494333333333
"44-21",44,21,0.769566666666667
"44-22",44,22,499.904933333333
"44-23",44,23,11.3114666666667
"44-24",44,24,11.5121
"44-25",44,25,164.329966666667
"44-26",44,26,91.7576
"44-27",44,27,3.42316666666667
"44-28",44,28,169.444433333333
"44-29",44,29,2.6137
"44-3",44,3,180.664
"44-30",44,30,110.8674
"44-31",44,31,250.3739
"44-32",44,32,2.53416666666667
"44-33",44,33,5.19923333333333
"44-34",44,34,6.26156666666667
"44-35",44,35,0.321166666666667
"44-36",44,36,2.15203333333333
"44-37",44,37,7.19213333333333
"44-38",44,38,0.803033333333333
"44-39",44,39,12.5328666666667
"44-4",44,4,18.9100666666667
"44-40",44,40,4.48633333333333
"44-41",44,41,14.0168333333333
"44-42",44,42,45.5032333333333
"44-43",44,43,1413.17166666667
"44-44",44,44,199338.3823
"44-45",44,45,32.4479
"44-46",44,46,2165.9529
"44-47",44,47,18.6093666666667
"44-48",44,48,31.6573333333333
"44-49",44,49,3.85366666666667
"44-5",44,5,3.36213333333333
"44-50",44,50,10479.5081
"44-6",44,6,6.5717
"44-7",44,7,3.8443
"44-8",44,8,298.978233333333
"44-9",44,9,47.3007
"45-1",45,1,50.7376
"45-10",45,10,3892.41673333333
"45-11",45,11,116.2737
"45-12",45,12,59.5459333333333
"45-13",45,13,15231.9570333333
"45-14",45,14,291.1189
"45-15",45,15,41.0543333333333
"45-16",45,16,5638.6065
"45-17",45,17,28.1836333333333
"45-18",45,18,191.715866666667
"45-19",45,19,1736.8986
"45-2",45,2,1468.78853333333
"45-20",45,20,43.6476666666667
"45-21",45,21,55.3324333333333
"45-22",45,22,46.2878333333333
"45-23",45,23,470.962366666667
"45-24",45,24,93.0850666666667
"45-25",45,25,45.4759666666667
"45-26",45,26,64.6658666666667
"45-27",45,27,24.2637666666667
"45-28",45,28,134245.714566667
"45-29",45,29,178.428766666667
"45-3",45,3,346.4422
"45-30",45,30,418.234766666667
"45-31",45,31,128.4473
"45-32",45,32,33.3522333333333
"45-33",45,33,73.0733
"45-34",45,34,41.0365
"45-35",45,35,20.6881333333333
"45-36",45,36,44.7270333333333
"45-37",45,37,223.2445
"45-38",45,38,12.7363333333333
"45-39",45,39,52.0877333333333
"45-4",45,4,95.0121
"45-40",45,40,319.972033333333
"45-41",45,41,364.6048
"45-42",45,42,82.2418
"45-43",45,43,38.2701666666667
"45-44",45,44,43.4582666666667
"45-45",45,45,1229653.0906
"45-46",45,46,794.327533333333
"45-47",45,47,256.765666666667
"45-48",45,48,81.456
"45-49",45,49,155.690533333333
"45-5",45,5,4497.15396666667
"45-50",45,50,328.961533333333
"45-51",45,51,1.6865
"45-52",45,52,0.241966666666667
"45-6",45,6,716.789066666667
"45-7",45,7,4.8974
"45-8",45,8,258.614233333333
"45-9",45,9,189.2161
"46-1",46,1,178.063233333333
"46-10",46,10,55.178
"46-11",46,11,121.840466666667
"46-12",46,12,47987.0286
"46-13",46,13,923.5132
"46-14",46,14,223.3537
"46-15",46,15,56.0622
"46-16",46,16,4657.96236666667
"46-17",46,17,453.0485
"46-18",46,18,398.7038
"46-19",46,19,294.517566666667
"46-2",46,2,5675.0755
"46-20",46,20,90.0893333333333
"46-21",46,21,141.236533333333
"46-22",46,22,134.900466666667
"46-23",46,23,439.879766666667
"46-24",46,24,121.290866666667
"46-25",46,25,271.528766666667
"46-26",46,26,194.294233333333
"46-27",46,27,13.7091333333333
"46-28",46,28,4258.6567
"46-29",46,29,285.9138
"46-3",46,3,53653.4358333333
"46-30",46,30,5218.8922
"46-31",46,31,464.0121
"46-32",46,32,20.0784
"46-33",46,33,88.8188666666667
"46-34",46,34,34.0119
"46-35",46,35,52.0884666666667
"46-36",46,36,38.2504666666667
"46-37",46,37,61.5301666666667
"46-38",46,38,30.4637333333333
"46-39",46,39,73.2831666666667
"46-4",46,4,686.550433333333
"46-40",46,40,91.3939666666667
"46-41",46,41,515.495933333333
"46-42",46,42,65.558
"46-43",46,43,1807.69086666667
"46-44",46,44,1973.36336666667
"46-45",46,45,788.820866666667
"46-46",46,46,5744679.49293333
"46-47",46,47,217.051466666667
"46-48",46,48,148.741633333333
"46-49",46,49,99.6328666666667
"46-5",46,5,59.6307
"46-50",46,50,1448.02816666667
"46-51",46,51,1.06643333333333
"46-52",46,52,1.9275
"46-6",46,6,132.3202
"46-7",46,7,1379.05323333333
"46-8",46,8,2881.4594
"46-9",46,9,149.820266666667
"47-1",47,1,243.4814
"47-10",47,10,204.866566666667
"47-11",47,11,43.0766
"47-12",47,12,23.2370666666667
"47-13",47,13,87.7615333333333
"47-14",47,14,26.2153
"47-15",47,15,148.824666666667
"47-16",47,16,98.0584333333334
"47-17",47,17,16.6009333333333
"47-18",47,18,30.4666
"47-19",47,19,127.872766666667
"47-2",47,2,63.9401333333333
"47-20",47,20,142.9193
"47-21",47,21,31.0751
"47-22",47,22,23.3137333333333
"47-23",47,23,39.4843333333333
"47-24",47,24,4352.9546
"47-25",47,25,32.3662333333333
"47-26",47,26,146.031333333333
"47-27",47,27,134.4399
"47-28",47,28,3420.65656666667
"47-29",47,29,43.5943333333333
"47-3",47,3,80.5924333333333
"47-30",47,30,82.6509
"47-31",47,31,170.1759
"47-32",47,32,169.250866666667
"47-33",47,33,376.216933333333
"47-34",47,34,12534.2165
"47-35",47,35,0.2198
"47-36",47,36,190.029266666667
"47-37",47,37,4476.7584
"47-38",47,38,1.35633333333333
"47-39",47,39,494.669333333333
"47-4",47,4,17.2200333333333
"47-40",47,40,9425.50186666667
"47-41",47,41,82.3513666666667
"47-42",47,42,522.532333333333
"47-43",47,43,15.0839666666667
"47-44",47,44,16.7869
"47-45",47,45,256.401733333333
"47-46",47,46,172.2906
"47-47",47,47,1212032.68293333
"47-48",47,48,254.172666666667
"47-49",47,49,8048.42986666667
"47-5",47,5,3675.10383333333
"47-50",47,50,194.863833333333
"47-6",47,6,100.705066666667
"47-7",47,7,3.286
"47-8",47,8,147.428166666667
"47-9",47,9,4730.97516666667
"48-1",48,1,25477.0147
"48-10",48,10,43.5078333333333
"48-11",48,11,19.0238333333333
"48-12",48,12,38.4091
"48-13",48,13,33.2864
"48-14",48,14,10.0597
"48-15",48,15,127.1579
"48-16",48,16,21.9965333333333
"48-17",48,17,15.6994666666667
"48-18",48,18,13.4555
"48-19",48,19,47.8626333333333
"48-2",48,2,28.4612
"48-20",48,20,28502.5387
"48-21",48,21,10.9984333333333
"48-22",48,22,82.2701
"48-23",48,23,28.6807666666667
"48-24",48,24,161.577366666667
"48-25",48,25,56.0972333333333
"48-26",48,26,1356.9145
"48-27",48,27,47.1304666666667
"48-28",48,28,1244.81363333333
"48-29",48,29,47.5574
"48-3",48,3,48.2074666666667
"48-30",48,30,35.5996333333333
"48-31",48,31,1845.6011
"48-32",48,32,39.3180666666667
"48-33",48,33,565.116733333334
"48-34",48,34,183.043433333333
"48-35",48,35,35.6301
"48-36",48,36,74.4674
"48-37",48,37,90.2588
"48-38",48,38,16.2369333333333
"48-39",48,39,21960.2797333333
"48-4",48,4,3.9233
"48-40",48,40,94.7391333333333
"48-41",48,41,75.9595
"48-42",48,42,68.2535666666667
"48-43",48,43,37.0634666666667
"48-44",48,44,70.8024333333333
"48-45",48,45,84.4676333333333
"48-46",48,46,143.924433333333
"48-47",48,47,266.223866666667
"48-48",48,48,2636201.62653333
"48-49",48,49,60.5758333333333
"48-5",48,5,20.9073
"48-50",48,50,659.045933333333
"48-52",48,52,1.78696666666667
"48-6",48,6,24.3411333333333
"48-7",48,7,29.9874
"48-8",48,8,368.121166666667
"48-9",48,9,5029.39496666667
"49-1",49,1,64.2621666666666
"49-10",49,10,136.0511
"49-11",49,11,19.1855333333333
"49-12",49,12,6.24143333333333
"49-13",49,13,27.4181666666667
"49-14",49,14,16.3900666666667
"49-15",49,15,519.618433333333
"49-16",49,16,36.0059666666667
"49-17",49,17,1.85956666666667
"49-18",49,18,9.8971
"49-19",49,19,47.3789
"49-2",49,2,32.7136333333333
"49-20",49,20,52.9111
"49-21",49,21,8.60993333333333
"49-22",49,22,12.1907666666667
"49-23",49,23,20.7928
"49-24",49,24,6314.84326666667
"49-25",49,25,15.3751333333333
"49-26",49,26,29.8945333333333
"49-27",49,27,204.432033333333
"49-28",49,28,1231.85186666667
"49-29",49,29,13.7316333333333
"49-3",49,3,27.4509
"49-30",49,30,35.0277666666667
"49-31",49,31,36.6617666666667
"49-32",49,32,1214.42793333333
"49-33",49,33,482.812733333333
"49-34",49,34,478.621533333333
"49-35",49,35,0.624
"49-36",49,36,557.925433333333
"49-37",49,37,6564.2193
"49-38",49,38,0.621166666666667
"49-39",49,39,58.3609666666667
"49-4",49,4,5.45863333333333
"49-40",49,40,220.637733333333
"49-41",49,41,51.3794333333333
"49-42",49,42,64.1671
"49-43",49,43,12.6025
"49-44",49,44,4.95823333333333
"49-45",49,45,124.3083
"49-46",49,46,71.1242333333333
"49-47",49,47,8119.66136666667
"49-48",49,48,57.9407
"49-49",49,49,330985.797566667
"49-5",49,5,233.158833333333
"49-50",49,50,80.8370666666667
"49-51",49,51,0.507866666666667
"49-6",49,6,80.1768666666667
"49-7",49,7,0.269766666666667
"49-8",49,8,59.2623333333333
"49-9",49,9,372.8082
"5-1",5,1,10.1354333333333
"5-10",5,10,1560.89606666667
"5-11",5,11,4.62713333333333
"5-12",5,12,5.65806666666667
"5-13",5,13,50.7165666666667
"5-14",5,14,7.7497
"5-15",5,15,21.1472333333333
"5-16",5,16,35.2930333333333
"5-17",5,17,2.0034
"5-18",5,18,11.1907
"5-19",5,19,62.9425666666667
"5-2",5,2,47.3366333333333
"5-20",5,20,7.23476666666667
"5-21",5,21,4.44503333333333
"5-22",5,22,3.16446666666667
"5-23",5,23,22.2589666666667
"5-24",5,24,185.700733333333
"5-25",5,25,3.2337
"5-26",5,26,8.3309
"5-27",5,27,15.4931666666667
"5-28",5,28,12361.8853666667
"5-29",5,29,9.26986666666667
"5-3",5,3,24.2737333333333
"5-30",5,30,27.3392666666667
"5-31",5,31,12.4499
"5-32",5,32,20.9684666666667
"5-33",5,33,48.6197666666667
"5-34",5,34,152.871966666667
"5-35",5,35,10.7552
"5-36",5,36,27.2660333333333
"5-37",5,37,5019.87
"5-38",5,38,12.1404
"5-39",5,39,29.3279333333333
"5-4",5,4,3.6774
"5-40",5,40,3919.02113333333
"5-41",5,41,18.1639666666667
"5-42",5,42,47.3237
"5-43",5,43,1.34896666666667
"5-44",5,44,2.11566666666667
"5-45",5,45,4465.88413333333
"5-46",5,46,62.2812
"5-47",5,47,3677.07246666667
"5-48",5,48,18.5454333333333
"5-49",5,49,249.1139
"5-5",5,5,255132.6998
"5-50",5,50,18.5914333333333
"5-51",5,51,0.4474
"5-52",5,52,0.451833333333333
"5-6",5,6,58.9802666666667
"5-7",5,7,0.411333333333333
"5-8",5,8,16.8346666666667
"5-9",5,9,167.411533333333
"50-1",50,1,516.473866666667
"50-10",50,10,55.0368333333333
"50-11",50,11,36.0041
"50-12",50,12,469.516733333333
"50-13",50,13,126.592166666667
"50-14",50,14,75.0093
"50-15",50,15,69.6850666666667
"50-16",50,16,93.4151666666667
"50-17",50,17,268.053833333333
"50-18",50,18,70.6582666666667
"50-19",50,19,885.7821
"50-2",50,2,79.0385666666667
"50-20",50,20,484.434
"50-21",50,21,11.9238
"50-22",50,22,18525.8433666667
"50-23",50,23,115.3081
"50-24",50,24,175.4216
"50-25",50,25,1990.6693
"50-26",50,26,1730.47276666667
"50-27",50,27,31.0741333333333
"50-28",50,28,3530.68346666667
"50-29",50,29,61.1634666666667
"50-3",50,3,273.4621
"50-30",50,30,216.683133333333
"50-31",50,31,12103.1156333333
"50-32",50,32,45.7759333333333
"50-33",50,33,95.7898333333333
"50-34",50,34,94.9911333333333
"50-35",50,35,12.0871333333333
"50-36",50,36,40.0997
"50-37",50,37,49.6416333333333
"50-38",50,38,9.64356666666667
"50-39",50,39,212.1625
"50-4",50,4,36.3678666666667
"50-40",50,40,62.7233
"50-41",50,41,93.4710666666667
"50-42",50,42,2224.84203333333
"50-43",50,43,1425.20413333333
"50-44",50,44,10415.7292
"50-45",50,45,372.551966666667
"50-46",50,46,1450.01073333333
"50-47",50,47,218.977066666667
"50-48",50,48,596.409033333333
"50-49",50,49,92.5093333333333
"50-5",50,5,22.9828333333333
"50-50",50,50,2220752.46373333
"50-51",50,51,0.594833333333333
"50-6",50,6,51.3182333333333
"50-7",50,7,10.596
"50-8",50,8,3230.14843333333
"50-9",50,9,419.076866666667
"51-10",51,10,5.4631
"51-11",51,11,2102.37043333333
"51-13",51,13,2.07236666666667
"51-14",51,14,13.8198
"51-18",51,18,28.1405
"51-2",51,2,0.294333333333333
"51-21",51,21,19.4706
"51-23",51,23,9.95043333333333
"51-27",51,27,0.6774
"51-28",51,28,11.994
"51-29",51,29,233.097133333333
"51-3",51,3,1.49313333333333
"51-30",51,30,5.023
"51-31",51,31,0.3633
"51-32",51,32,0.395533333333333
"51-34",51,34,0.1996
"51-35",51,35,0.395633333333333
"51-36",51,36,0.302966666666667
"51-37",51,37,0.349866666666667
"51-4",51,4,16.9568666666667
"51-40",51,40,0.750133333333333
"51-41",51,41,77.4937333333333
"51-43",51,43,0.198566666666667
"51-45",51,45,5.37343333333333
"51-46",51,46,1.5924
"51-47",51,47,0.4477
"51-5",51,5,0.500133333333333
"51-51",51,51,221064.440233333
"51-52",51,52,0.807366666666667
"51-6",51,6,5.42726666666667
"51-7",51,7,0.287266666666667
"51-8",51,8,1.02336666666667
"51-9",51,9,0.5568
"52-1",52,1,0.537333333333333
"52-10",52,10,1.05853333333333
"52-11",52,11,16.3323333333333
"52-13",52,13,0.237966666666667
"52-14",52,14,5.68953333333333
"52-15",52,15,0.366866666666667
"52-16",52,16,0.256233333333333
"52-17",52,17,0.404966666666667
"52-18",52,18,81.6045666666667
"52-19",52,19,1.05206666666667
"52-2",52,2,0.2469
"52-20",52,20,0.4954
"52-21",52,21,2.18033333333333
"52-22",52,22,0.460333333333333
"52-23",52,23,4.8603
"52-24",52,24,0.313633333333333
"52-28",52,28,76.4657666666667
"52-29",52,29,274.681833333333
"52-3",52,3,6.0829
"52-30",52,30,13.924
"52-32",52,32,0.249466666666667
"52-33",52,33,1.451
"52-35",52,35,3.9752
"52-36",52,36,0.5885
"52-37",52,37,0.4041
"52-38",52,38,1.01263333333333
"52-4",52,4,64.9683333333333
"52-40",52,40,0.455233333333333
"52-41",52,41,26.7993
"52-43",52,43,0.223766666666667
"52-45",52,45,4.09373333333333
"52-46",52,46,1.41553333333333
"52-47",52,47,0.2411
"52-5",52,5,1.51836666666667
"52-50",52,50,1.2397
"52-51",52,51,0.677933333333333
"52-52",52,52,216186.5219
