id,Y,M,O,Total
0501901_AD,2195,5006,1878,9079
0501904,4730,10854,4345,19929
0501905,2653,5788,2086,10527
0501906,4453,9902,3605,17960
05021_AM,862,3111,1629,5602
05047,826,2284,1129,4239
05054_AM,863,2879,1848,5590
05057_AM,1153,3878,2840,7871
05114_AM,753,2955,1901,5609
05132_AM,663,2805,1951,5419
05163_AM,778,3631,2720,7129
05168_AM,1120,3194,1266,5580
05186_AM,716,2695,1643,5054
05204_AM,934,3318,2006,6258
05220_AM,626,2436,1785,4847
05238_AM,639,2940,2253,5832
05240_AM,743,3282,2391,6416
05241_AM,662,2720,1371,4753
05242_AM,805,2710,1533,5048
06002,632,3158,1895,5685
06005_AM,1156,3552,2560,7268
06006,762,2279,2811,5852
06011,4655,17039,12098,33792
06012_AM,1463,3312,1983,6758
06014_AM,2190,6053,3298,11541
0601501,1781,4581,2927,9289
0601502,1632,4198,2682,8512
0601503,3359,8639,5519,17517
0601504,4189,10729,6880,21798
0601505,1800,4646,2956,9402
0601506,1314,3379,2159,6852
0601507,3902,10050,6492,20444
0601508,2757,7300,4443,14500
0601509,3767,9757,6216,19740
0601510,2860,7355,4699,14914
06016_AM,660,2740,2481,5881
06019_AM,1199,4027,3214,8440
06022_AM,976,4526,2749,8251
06023_AM,1277,4609,2778,8664
06025,1248,3389,1829,6466
06028_AM,1330,4826,3557,9713
06036_AM,794,4376,3595,8765
06044_AM,5486,20814,13177,39477
06050_AM,1486,4794,2346,8626
06052_AM,785,2841,2678,6304
06054,648,3457,2851,6956
06055_AM,1036,3347,2433,6816
06060_AM,1291,5663,3216,10170
06063_AM,1139,4120,2553,7812
06066_AM,888,3204,1843,5935
06069_AM,802,3356,1636,5794
06070_AM,1708,5908,3845,11461
06072_AM,957,2681,2037,5675
06074_AM,984,3339,2345,6668
0608301,534,3018,2292,5844
0608302_AD,495,2761,2389,5645
0608303,1665,7346,5288,14299
0608304,2146,10690,7754,20590
0608306,1614,6676,4570,12860
06085_AM,1211,3680,1833,6724
06088_AM,3500,12447,6135,22082
06091_AM,1807,4882,2251,8940
06093_AM,545,3767,1996,6308
06094_AM,699,3313,2020,6032
06095_AM,3243,8916,4603,16762
