id,Y,M,O,Total
14069_AM,2207,6878,3237,12322
14073_AM,1545,5578,3313,10436
15001,893,3348,1631,5872
15002,3601,14805,11965,30371
15004,662,2581,2760,6003
15005,3997,14552,12867,31416
15006_AM,1911,4568,1628,8107
15008,1363,3660,2153,7176
15009,1790,5968,5132,12890
15010_AM,989,3155,2409,6553
15011,2061,11354,5654,19069
15012_AM,1410,4203,2441,8054
15013,1471,4422,2546,8439
15014_AM,1472,3788,2313,7573
15016,589,2839,2266,5694
15017,3484,12299,8888,24671
15019,6575,19328,5858,31761
15020_AM,1209,3501,3744,8454
15021,1190,3355,2003,6548
15022_AM,1201,4647,3888,9736
15023_AM,1916,5070,2248,9234
15024_AM,1523,4017,3118,8658
15029,922,3604,1958,6484
1503001,1845,6921,3537,12303
1503002,4491,16841,8608,29940
1503003,3607,13526,6913,24046
1503004,4379,16423,8394,29196
1503005,4962,18608,9510,33080
1503006,3689,13836,7071,24596
1503007,7725,28972,14808,51505
1503008,1628,6099,3136,10863
1503009,1721,6448,3348,11517
1503010,1324,4966,2553,8843
15031,4155,13629,12436,30220
15032_AM,937,3363,1831,6131
15035_AM,2074,8840,5635,16549
1503601,934,4136,2430,7500
1503602,1951,8634,5073,15658
1503603_AD,1270,5623,3304,10197
1503606,1800,7913,4683,14396
1503607,1336,5889,3476,10701
1503608,1150,5085,2990,9225
15037,837,3014,1215,5066
15041,2215,7108,2225,11548
15043,1288,3418,1231,5937
15046,1389,3671,2657,7717
15047_AM,588,2538,2140,5266
15048,1264,3704,1473,6441
15050_AM,833,2627,1450,4910
15051,498,2941,1946,5385
15052_AM,1166,4232,2788,8186
15053,1158,4505,3730,9393
15054,5362,19792,14043,39197
15055_AM,1269,4255,3014,8538
15056,1223,3967,1934,7124
15057,2939,7410,4555,14904
15058,5032,20551,10109,35692
15059,1421,6658,4664,12743
15060,1187,4121,2001,7309
15061_AM,2576,6682,2420,11678
15062,1091,3416,2113,6620
15064_AM,757,3507,1796,6060
15065,1461,4965,2593,9019
15066,834,2217,1886,4937
15067,1503,5617,2737,9857
15068,1530,3144,1165,5839
15069,1309,3858,3052,8219
15070_AM,1921,7098,2383,11402
15071,1482,5549,2839,9870
15072,1985,7201,2757,11943
15073,4682,14998,8261,27941
15074_AM,2174,6427,2811,11412
15075,1631,8710,5935,16276
15077,2286,5666,1665,9617
1507801,1449,3416,2594,7459
1507802,2837,6533,4943,14313
1507803,2084,4801,3632,10517
1507804,4935,11514,8527,24976
1507805,5099,11743,8884,25726
1507806,935,2187,1631,4753
15082,3997,9624,5419,19040
15087,1719,3869,1737,7325
15088_AM,1815,5462,3790,11067
15089,907,2827,1384,5118
15092,1538,4426,1712,7676
15093,894,2434,1595,4923
15902,728,2755,1865,5348
16023_AM,933,2960,1592,5485
16027_AM,854,2754,1453,5061
16042_AM,911,2681,1387,4979
16066_AM,1197,3400,2135,6732
1607801_AD,2298,7352,3169,12819
1607804,6588,21359,10232,38179
16102_AM,992,3385,1815,6192
16106_AM,975,2601,1766,5342
16112_AM,906,2784,1710,5400
16113_AM,1008,3110,1456,5574
16117_AM,963,2853,1569,5385
16124_AM,810,3037,1816,5663
16125_AM,783,2551,1838,5172
16133,1458,3390,1598,6446
16134,1820,3506,896,6222
16154,815,4025,2086,6926
16170_AM,816,2553,1268,4637
16171_AM,900,2910,1706,5516
16175,1794,4148,2068,8010
16190,1414,3808,2734,7956
16191_AM,1078,3157,1656,5891
16203,2699,7671,4820,15190
16249_AM,1203,3687,1497,6387
16251_AM,824,2966,2223,6013
16903_AM,927,2998,1808,5733
16905_AM,1007,2850,1499,5356
17006_AM,897,2671,1653,5221
17007_AM,1562,5308,3010,9880
17008,1028,2352,2056,5436
17009,997,3063,2021,6081
17012_AM,1156,3268,1716,6140
17013_AM,964,4008,2533,7505
17015,2264,9928,6589,18781
17016_AM,937,2957,1374,5268
17019_AM,952,2558,1402,4912
17020_AM,1593,4474,2094,8161
17022,1311,5932,3147,10390
17023,5591,21475,12926,39992
17032_AM,970,3010,1679,5659
17033,1621,4363,1695,7679
17034,2191,5477,3981,11649
17036_AM,977,2860,1905,5742
17039_AM,808,2870,1956,5634
17044,889,3965,4894,9748
17047,1942,5876,3486,11304
17048,2097,6835,2613,11545
17049_AM,2028,3848,677,6553
17056_AM,1047,3012,1477,5536
17062,665,4247,5887,10799
17066,6320,26378,12970,45668
17067_AM,910,2805,1796,5511
1707901,1552,4442,1571,7565
1707902,6592,18948,6934,32474
1707903,7560,21641,7654,36855
1707904_AD,1892,5374,1975,9241
1707906,1663,4858,2565,9086
17083_AM,1422,4355,2539,8316
17086_AM,577,1936,977,3490
17089,1178,3949,3181,8308
17092_AM,1095,3234,1943,6272
17094,219,688,445,1352
17095,5335,16774,15407,37516
17103,1674,3701,1813,7188
17111_AM,905,3059,1744,5708
17114,6127,18641,10002,34770
17117,5735,11820,5860,23415
17118,3006,9411,6111,18528
17132_AM,1010,3059,1719,5788
17137_AM,1035,3121,1503,5659
17141,1407,3945,3198,8550
17142_AM,910,3039,2043,5992
17146_AM,1409,3588,2746,7743
17147,1654,5554,2543,9751
17152,3821,11073,5187,20081
17155,7069,18317,4144,29530
17160,4069,11990,6355,22414
17163_AM,1455,4338,1784,7577
17164_AM,1151,3537,1902,6590
17167_AM,789,2633,1420,4842
17178_AM,1151,3013,1746,5910
17180_AM,2272,7247,3481,13000
17181,1314,3327,821,5462
17185_AM,1060,2715,1550,5325
17186,707,2167,2070,4944
17193,950,3188,2100,6238
17199,1521,6203,4075,11799
17202,1315,2998,1477,5790
17207_AM,984,3203,1607,5794
17211_AM,868,2801,2181,5850
17213,828,3781,3299,7908
17221,672,2501,2226,5399
17223_AM,731,2393,1613,4737
17233_AM,766,2564,1766,5096
17901_AM,1101,2885,1441,5427
17902_AM,1058,3159,1721,5938
18003,4009,10401,4887,19297
18006,1507,3894,1612,7013
18011_AM,1426,4635,3045,9106
18013_AM,1624,5172,2247,9043
18014_AM,1360,5964,3830,11154
18017,3715,14863,9262,27840
18021,4783,12759,6129,23671
18022,4221,10186,4123,18530
18023,2331,12076,7278,21685
18027_AM,1418,3013,1453,5884
18029_AM,1228,3510,1910,6648
18036,1532,2879,770,5181
18047,1801,4399,1644,7844
18056_AM,1946,5175,1628,8749
18057,1433,3683,2344,7460
18059,735,2939,1821,5495
18061_AM,1100,3776,1893,6769
18062,3203,8474,3021,14698
18063_AM,856,2601,1659,5116
18066_AM,1284,4449,2609,8342
18071_AM,1742,4547,2416,8705
18079_AM,2217,6402,3140,11759
18084,574,2795,2343,5712
1808701,4449,10766,3571,18786
1808702,11250,29423,11376,52049
1808703,14476,33459,9246,57181
1808704_AD,2408,5828,1882,10118
1808706,6511,15639,5320,27470
1808707,7212,16755,4659,28626
1808709,3723,8603,2348,14674
18088_AM,944,2739,1533,5216
18089,3273,10685,5930,19888
18093,683,2571,1889,5143
18094_AM,944,2945,1934,5823
18098,1286,3969,2527,7782
18099_AM,886,2800,1429,5115
18100,1706,5994,3226,10926
18101,1870,5234,4621,11725
18102_AM,2339,7278,3767,13384
18105,768,2599,1774,5141
18108_AM,924,2927,1588,5439
18116_AM,1090,3172,1556,5818
18119_AM,1077,2654,1470,5201
18122_AM,4700,12057,5285,22042
18127,3578,9574,8275,21427
18132_AM,1161,4138,2774,8073
18133_AM,1153,3469,1781,6403
18134,1266,3866,2080,7212
18135_AM,1759,4589,2026,8374
18136_AM,865,2909,1686,5460
18138_AM,1658,4361,2424,8443
1814001,1391,3401,2226,7018
1814002,2428,6134,4050,12612
1814003,1100,2690,1760,5550
1814004,4877,11922,7803,24602
1814005_AD,2318,5740,3777,11835
18145,2320,8173,3472,13965
18147,681,2345,2625,5651
18149_AM,1680,4796,2895,9371
18150,1232,5025,2463,8720
18152_AM,753,2319,1338,4410
18153,2124,6100,3037,11261
18158,1423,5012,3876,10311
18162_AM,931,2750,1479,5160
18164_AM,1044,3002,1951,5997
18165,1335,3114,1103,5552
18173,1601,6648,4706,12955
18175,3013,8423,3576,15012
18182_AM,883,2868,1411,5162
18184_AM,801,2646,1880,5327
18193,2387,10462,6578,19427
18194_AM,1246,3254,1187,5687
18903_AM,816,2348,1198,4362
18905,4243,10833,5720,20796
18907_AM,944,2645,1626,5215
18911,2522,6236,2149,10907
19024,2990,6895,2557,12442
19046_AM,5703,18796,13286,37785
19053_AM,1005,2863,1493,5361
19058_AM,2752,6929,3263,12944
19071_AM,2413,8014,5822,16249
19086_AM,847,2643,1459,4949
1913001,3165,12272,4756,20193
1913002,3814,15462,5669,24945
1913003,2409,9766,3581,15756
1913004,2013,7708,3108,12829
1913005,1167,4396,1823,7386
19151_AM,1009,3001,1552,5562
19156_AM,916,2556,1134,4606
19160_AM,1295,4010,2233,7538
19171,1661,3748,2140,7549
19190_AM,942,2897,1688,5527
19192_AM,1132,3371,2032,6535
19220_AM,1239,2951,1300,5490
19245_AM,1092,3258,1818,6168
19257_AM,1003,2886,1502,5391
19274_AM,860,2670,1540,5070
19280_AM,1886,5069,1682,8637
19319,1252,3830,1883,6965
19326_AM,941,2950,2053,5944
19331_AM,1041,3481,2321,6843
20005_AM,818,2437,1270,4525
20009,1932,8293,4567,14792
20010_AM,1008,2380,867,4255
20013,1040,4219,1661,6920
20017,1593,7427,2639,11659
20018,2288,7137,5003,14428
20019,1710,7865,4668,14243
20022_AM,623,1742,964,3329
20025_AM,1169,2904,1745,5818
20027_AM,780,2255,1591,4626
20028_AM,745,2038,841,3624
20029,1056,4094,482,5632
20030,5708,16313,4944,26965
20032,1855,5809,4221,11885
20034_AM,668,2167,1353,4188
20036,3119,9391,4393,16903
20039_AM,1166,3676,2117,6959
20040,2955,10707,5908,19570
20042,823,2243,959,4025
20043_AM,1005,2637,1392,5034
2004501,1294,4474,1812,7580
2004502,2807,9704,3938,16449
2004503,4578,15673,6412,26663
2004504,1848,6343,2569,10760
20049,829,3374,1254,5457
20051,1495,5061,1853,8409
20052_AM,626,1997,1077,3700
20053,1431,3730,993,6154
20055,3824,11814,5562,21200
20056_AM,1645,4469,1607,7721
20059,2244,6041,3091,11376
20061,1100,3131,1597,5828
20063,2630,5709,1991,10330
20064,2280,7216,6393,15889
20067,7531,23478,7916,38925
2006901,1303,3491,872,5666
2006902,1911,5119,1279,8309
2006903,8814,23978,6488,39280
2006904,5550,14860,3715,24125
2006905,3829,10252,2563,16644
2006906,10231,27498,7699,45428
2006907,9273,25516,8842,43631
20071,4012,10972,3676,18660
20072,1134,3454,1753,6341
20073,1620,3208,1482,6310
20074_AM,3423,10190,4808,18421
20075,1385,3219,1272,5876
20076,1869,4443,3597,9909
20077_AM,1669,4686,2436,8791
20079,4673,13910,4091,22674
20080,1658,4991,3037,9686
20081,1529,6055,2300,9884
20902,3304,9825,4481,17610
20903,943,2875,2045,5863
21002,2103,10836,8264,21203
21005,2665,11300,10413,24378
21006_AM,1635,4917,2070,8622
21007_AM,1348,4696,3328,9372
21008_AM,852,2773,1411,5036
21010_AM,3722,12226,8592,24540
21011,1097,2439,1354,4890
21013,2336,6730,5487,14553
21014_AM,1744,5129,2226,9099
21021,2592,6893,10301,19786
21023_AM,1262,3245,1364,5871
21025,581,2542,1571,4694
21029_AM,1329,3371,1404,6104
21035_AM,2850,8213,6441,17504
21040_AM,1555,3810,1672,7037
2104101,3172,9743,4984,17899
2104102,2792,8577,4388,15757
2104103,2330,6961,3692,12983
2104104,2815,8647,4424,15886
2104105,3075,9176,4588,16839
2104106,1817,5492,2802,10111
2104107,5343,15507,7808,28658
2104108,3409,10404,5362,19175
21042,5911,12030,3744,21685
21043_AM,842,2777,1478,5097
21044,4513,17045,6280,27838
21049_AM,2183,5386,2767,10336
21050,4390,10721,6672,21783
21052_AM,886,3073,1874,5833
21053_AM,1127,3717,1817,6661
21054,1820,7130,2369,11319
21055,3380,6446,1754,11580
21056_AM,1460,3477,1507,6444
21058_AM,1431,3115,1262,5808
21060,3069,7577,5166,15812
21061,922,3530,3585,8037
21064,2338,4762,2104,9204
21069_AM,1332,3837,1591,6760
21070,1047,4810,2566,8423
21072,2104,6675,4707,13486
21074_AM,1218,3443,1104,5765
21076_AM,897,2654,1677,5228
22017_AM,800,2404,1185,4389
22021_AM,1013,2962,1380,5355
22039_AM,1205,3370,1944,6519
22048,4076,10299,3910,18285
22053_AM,1032,2906,1387,5325
22054_AM,1605,3247,990,5842
22060_AM,1081,2829,1400,5310
22061,1811,4926,3255,9992
22084_AM,968,2505,1052,4525
22112_AM,3072,9221,5290,17583
22116_AM,931,2600,1264,4795
22117_AM,1060,2925,1587,5572
2212501,592,2042,1110,3744
2212502,1360,4689,2550,8599
2212503,2042,6629,3627,12298
2212504,997,3436,1839,6272
2212505,638,2074,1117,3829
2212506,676,2331,1268,4275
2212507,1064,3608,1974,6646
2212508,671,2314,1258,4243
22130,1943,6895,4796,13634
22137_AM,938,2631,1292,4861
22158,3174,8056,6033,17263
22199,1453,5727,2387,9567
22204_AM,842,2598,1501,4941
22213_AM,832,2491,1651,4974
22225_AM,1487,4166,1630,7283
22228_AM,864,2586,1272,4722
22254_AM,806,2208,1250,4264
22901_AM,785,2281,1119,4185
22907_AM,1044,2809,1288,5141
23002,2467,12797,6688,21952
23003,1713,6913,2722,11348
23005,8039,18703,11054,37796
23006_AM,2358,6319,3137,11814
23009,2109,7332,5971,15412
23010,4040,10444,4072,18556
23012_AM,1310,3688,2261,7259
23014_AM,1526,4144,1490,7160
23018_AM,1495,3447,1380,6322
23024,2877,9371,3322,15570
23025_AM,1266,3577,1630,6473
23026_AM,1659,4066,1760,7485
23028,2115,4686,1093,7894
23038,945,2859,1439,5243
23039_AM,1537,3576,1685,6798
23044_AM,1441,4161,2568,8170
2305001,1328,4400,3350,9078
2305002,1228,4095,3096,8419
2305003,2456,8047,5985,16488
2305004,3338,11191,8639,23168
2305005,3880,12835,9735,26450
2305006,1020,3437,2685,7142
2305007_AD,1268,4274,3339,8881
2305009,1064,3565,2769,7398
23053,1887,6433,2859,11179
2305501_AD,3073,8732,3770,15575
2305502_AD,2374,6775,2940,12089
2305504,2559,7304,3169,13032
2305505,1185,3383,1468,6036
2305506,1194,3408,1478,6080
2305507,1121,3200,1388,5709
23058,2728,6260,2478,11466
23059_AM,1678,5947,3803,11428
23060_AM,6053,16065,4904,27022
23061_AM,2719,7317,2991,13027
23063_AM,1157,3294,2157,6608
23066,841,3115,1501,5457
23067_AM,1418,3208,1261,5887
23069_AM,1880,4441,1843,8164
23070_AM,1495,4493,1675,7663
23073_AM,1419,3672,1268,6359
23074_AM,962,2981,2011,5954
23079_AM,1068,2629,1668,5365
23082_AM,1185,3528,1829,6542
23086_AM,4413,10351,2470,17234
23087,3014,6725,4945,14684
23088_AM,2806,6410,2424,11640
23092,4946,16666,13621,35233
23093_AM,1719,3914,2003,7636
23094_AM,953,3172,1934,6059
23095,2622,6005,2514,11141
23096_AM,1588,3741,1518,6847
23097_AM,2327,6343,1911,10581
23099,1228,3224,1774,6226
23902_AM,1082,3473,1184,5739
23903_AM,1486,4079,1656,7221
23904_AM,1560,4881,2829,9270
23905_AM,1405,3626,2245,7276
24008,2218,5890,3020,11128
24010,2309,5832,2705,10846
24014,717,3907,4729,9353
24015_AM,1134,3074,1629,5837
24021_AM,1335,3740,1775,6850
24030,525,2399,2535,5459
24034_AM,1130,4188,2367,7685
24038_AM,1330,3129,1436,5895
24039_AM,1560,3926,1651,7137
24056_AM,1090,3400,1167,5657
24065_AM,1590,3666,1788,7044
24070_AM,1462,3708,1088,6258
24083_AM,1242,3081,1320,5643
24088_AM,1301,3521,1588,6410
2408901,653,3101,1712,5466
2408902,1067,5069,2798,8934
2408903,2994,14160,7827,24981
2408904,2019,9589,5293,16901
2408905,1446,6865,3790,12101
2408906,2015,9568,5282,16865
2408907,2163,9717,5465,17345
2408908_AD,788,3668,2021,6477
2408910,1036,4817,2659,8512
24092_AM,1165,3270,1745,6180
24094_AM,1390,3575,1532,6497
2411501,4341,9992,2720,17053
2411502,5712,13087,3506,22305
2411503_AD,3699,8517,2350,14566
2411505,2579,6595,2051,11225
24122_AM,1295,3363,1470,6128
24134_AM,1702,4198,1858,7758
24139_AM,1013,2757,1225,4995
24142,5437,14519,9962,29918
24148_AM,1169,3497,1794,6460
24154_AM,979,2889,1418,5286
24157_AM,1229,3291,1262,5782
24160_AM,1233,3235,1419,5887
24163_AM,1757,5416,2213,9386
24169_AM,934,3072,2036,6042
24170_AM,1452,3771,1722,6945
24175_AM,1565,3991,1779,7335
24181_AM,1329,3173,1237,5739
24183_AM,830,2308,1100,4238
24188,1385,2905,895,5185
24189,1613,3673,1775,7061
24196_AM,902,2882,1201,4985
24202,2472,5347,1604,9423
24209_AM,1268,3202,1410,5880
24212_AM,1225,3172,1497,5894
24222,4065,8993,4914,17972
24223_AM,1369,3735,1367,6471
25003,1050,2548,1678,5276
25007_AM,1403,4051,1980,7434
25008_AM,844,2614,1207,4665
25011_AM,2671,6536,3489,12696
25012_AM,1281,3289,1677,6247
25019,935,3335,2288,6558
25021_AM,1178,2892,1999,6069
25023,1003,3423,1850,6276
25025_AM,1039,2647,1244,4930
25029_AM,1078,2932,1473,5483
25033_AM,790,2070,1092,3952
25034_AM,1590,4428,1993,8011
25038_AM,925,2593,1107,4625
25040,3591,9505,3206,16302
25048_AM,1317,3387,1732,6436
25050,797,2580,1245,4622
25051_AM,1099,2635,1217,4951
25058,1294,3089,1521,5904
25062_AM,842,2241,1159,4242
25072,1385,4335,2720,8440
25099_AM,1076,2877,980,4933
25110,1589,3849,1505,6943
25113_AM,1371,3308,1274,5953
25119_AM,1263,3269,1396,5928
2512001,4957,12392,8736,26085
2512002,3038,7524,5063,15625
2512003,1550,3876,2733,8159
2512004,3976,9940,7007,20923
2512005,2362,5905,4163,12430
2512006,5057,12643,8913,26613
2512007,3165,7907,5130,16202
2512008_AD,1824,4770,3168,9762
25122_AM,979,2848,1167,4994
25137,1916,7222,4577,13715
25158_AM,1082,2895,1307,5284
25171_AM,977,2592,1192,4761
25172_AM,972,2619,1456,5047
25173_AM,848,2559,1300,4707
25189_AM,1472,4081,1598,7151
25192_AM,1034,2919,1453,5406
25193_AM,929,2501,1112,4542
25203,2213,5437,4171,11821
25204_AM,1383,3669,1562,6614
25207,1421,4273,3136,8830
25209_AM,1289,3149,1037,5475
25217,1686,8020,6983,16689
25223_AM,1068,2776,1321,5165
25228,880,2835,763,4478
25234,1407,3197,875,5479
25240_AM,1040,2855,1413,5308
25243_AM,1704,4332,2135,8171
26002_AM,1556,4209,1697,7462
26005_AM,2108,5324,2364,9796
26011,2130,5846,2135,10111
26018,2412,8561,3993,14966
26021_AM,1412,3688,1719,6819
26026_AM,1009,2851,1333,5193
26036,6058,15282,3425,24765
26042_AM,1484,3202,809,5495
26047_AM,1000,2638,1170,4808
26059_AM,1182,3211,1505,5898
26061_AM,977,2795,1352,5124
26064_AM,1911,4606,2352,8869
26071_AM,2558,6667,2890,12115
26084,2067,5303,2648,10018
2608901_AD,1609,4504,1822,7935
2608902,8568,23535,8818,40921
2608903,5260,14718,5951,25929
2608904,10657,29773,12088,52518
2608905,3438,9617,3897,16952
26102,1324,3923,2884,8131
26117_AM,1028,2991,1215,5234
26125_AM,1368,3774,1447,6589
26129_AM,1223,2969,1318,5510
26138,1529,3345,1380,6254
26168,1990,4897,925,7812
27005_AM,1358,3733,1629,6720
27006_AM,1416,4182,2073,7671
27010,1142,2928,1524,5594
27011_AM,1332,3168,1255,5755
27013_AM,1671,4412,2010,8093
27014_AM,977,3416,2006,6399
27015,1108,2939,939,4986
27016,1733,4677,2025,8435
27018_AM,1186,3403,1087,5676
27019,2339,5499,2258,10096
27020_AM,1056,3702,1876,6634
27021_AM,1039,2797,1249,5085
27022,1425,3703,365,5493
27026_AM,1431,3582,1494,6507
2702801_AD,3719,8061,3856,15636
2702802,6389,13848,6624,26861
2702804_AD,5249,11409,5443,22101
2702805,5667,12283,5875,23825
2702806_AD,1518,3317,1585,6420
27030_AM,1507,4746,1543,7796
27031,3199,9691,6452,19342
27032_AM,1507,4105,1377,6989
27039_AM,2525,5547,2059,10131
27040_AM,816,2750,2291,5857
27041_AM,1817,4090,1831,7738
27042_AM,1335,2856,1016,5207
27044_AM,1234,3318,1397,5949
27048_AM,1038,3093,1477,5608
27050_AM,1429,3353,1368,6150
27051,2238,5755,2216,10209
27057,2977,7261,3591,13829
27058_AM,1150,2898,1405,5453
27065,3211,8825,2732,14768
27066,3762,9001,3118,15881
27902,2200,4739,2467,9406
28002,1235,2535,1207,4977
28004,2614,5729,1514,9857
2800501,8444,20894,1480,30818
2800502,14076,35092,3213,52381
2800503,7383,18428,1999,27810
2800504,9322,23499,2783,35604
2800505,11716,29240,2511,43467
2800601,25627,63805,19335,108767
2800701,3232,15037,11650,29919
2800702,5473,24384,18451,48308
2800703,3452,16143,12539,32134
2800704,5944,27386,21131,54461
28008_AM,1526,3585,921,6032
28009,3856,10818,5472,20146
28010,2571,7758,4370,14699
2801301,1241,5676,6827,13744
2801302,1458,6670,8022,16150
2801303,1538,7033,8459,17030
2801304,1689,4987,3590,10266
28014,8124,29672,15467,53263
28015,7735,14270,7415,29420
28018,545,3337,2432,6314
28022,11391,25494,13868,50753
28023,1348,4812,2619,8779
28026,3167,7139,916,11222
28027_AM,1778,4711,2203,8692
28030_AM,1368,3633,1533,6534
28031_AM,1388,3777,1515,6680
28032_AM,1675,4745,2819,9239
28033,1385,3670,1408,6463
28038_AM,3041,7384,1419,11844
28040,3807,12234,8148,24189
28041,1552,4202,2065,7819
28043,2346,5186,1054,8586
28044,1496,5502,2758,9756
28045,8577,25172,15020,48769
28046,1537,4040,1638,7215
28047,12762,34728,14042,61532
2804901,6352,17969,9622,33943
2804902,5489,15525,8314,29328
2804903_AD,3477,9838,5262,18577
28050_AM,1960,5196,2672,9828
28052_AM,2146,5588,2897,10631
28053,2896,6168,1461,10525
28054,4411,8422,2883,15716
2805801,1713,4404,2192,8309
2805802,4252,11262,5944,21458
2805803,3145,8359,4441,15945
2805804,5364,14218,7485,27067
2805805,2192,5826,3095,11113
2805806,6594,17525,9308,33427
2805807,4690,12464,6623,23777
2805808,4446,11815,6278,22539
2805809,5050,13427,7105,25582
28059,1692,3608,1491,6791
28060_AM,1376,3502,1170,6048
28061,5947,18347,10327,34621
2806501,3999,13800,7023,24822
2806502,5296,18736,9797,33829
2806503,10600,35742,18165,64507
2806504,7906,27672,14289,49867
28066,2152,5854,2788,10794
28067_AM,1409,4450,2384,8243
28068,3755,9175,4752,17682
28072,1658,4445,2302,8405
28073,4229,11765,3317,19311
2807401,7920,17483,5665,31068
2807402,5430,11844,3708,20982
2807403,8349,18542,6093,32984
2807404,11215,24463,7659,43337
2807405,8497,18565,5829,32891
2807406,3239,7065,2212,12516
2807407,3348,7304,2287,12939
28075,2704,5460,1799,9963
2807901,26078,66241,29929,122248
2807902,30588,77698,35106,143392
2807903,23574,59881,27055,110510
2807904,28164,71539,32323,132026
2807905,28151,71505,32308,131964
2807906,30489,77446,34992,142927
2807907,25928,65859,29757,121544
2807908,48157,122992,55424,226573
2807909,23066,59708,25348,108122
2807910,46660,123913,54768,225341
2807911,50874,129225,58387,238486
2807912,28096,71368,32246,131710
2807913,47328,120217,54317,221862
2807914,19516,49573,22398,91487
2807915,43244,109844,49630,202718
2807916,37081,94062,41593,172736
2807917,29029,76091,34973,140093
2807918,21359,56677,26156,104192
2807919,14611,38469,17828,70908
2807920,30821,80395,38055,149271
2807921,9823,25205,11131,46159
2808001,5980,15469,6149,27598
2808002,9256,23928,9394,42578
28082,1908,5257,1660,8825
28083,1928,6678,5209,13815
28084,4405,12222,6919,23546
28085_AM,2178,5259,2248,9685
28086,1588,4819,3607,10014
28087,1185,2511,1118,4814
28089,1116,2545,1428,5089
28090,2723,7525,2495,12743
28091,2000,4502,1224,7726
2809201,7769,20841,10126,38736
2809202,9918,27017,13354,50289
2809203,8365,22462,10978,41805
2809204,14353,37895,18450,70698
28095_AM,1261,3513,1484,6258
28096,6033,15662,7566,29261
28099_AM,1385,3433,1193,6011
28100,1762,3689,1226,6677
28104,4600,13445,5139,23184
2810601,26632,67095,31005,124732
28108,1555,3475,1060,6090
28110_AM,1667,4587,2191,8445
2811301,6167,14934,2903,24004
2811302,6681,16171,3139,25991
2811501,10028,29591,7747,47366
2811502,7269,21461,5593,34323
28119_AM,1242,3538,1894,6674
2812301,15899,48771,19437,84107
28125_AM,1895,4624,2189,8708
2812701,17021,48139,27815,92975
28129,2276,6437,4741,13454
28130,7319,23356,7558,38233
28131,4856,10292,3170,18318
28132,4774,10557,4164,19495
28133_AM,2688,6630,2812,12130
2813401,14839,46818,22752,84409
28137_AM,1672,5033,2605,9310
28140_AM,1215,3516,1257,5988
28141,689,4363,3990,9042
28144,1966,5695,1310,8971
28145_AM,1489,3849,1933,7271
2814801,4716,18110,16141,38967
2814802,5636,22019,19398,47053
2814803,1634,6367,5494,13495
2814804,3126,12300,11027,26453
28149,1916,5436,1711,9063
28150,1018,2493,1176,4687
28151_AM,1162,2834,1182,5178
28152,5171,11952,6170,23293
28154,1895,4333,1490,7718
28160,1202,6769,5090,13061
2816101,8924,23790,12967,45681
2816102,5204,13993,7794,26991
28162_AM,1911,4395,1205,7511
28164,1401,2567,865,4833
28165_AM,1586,4828,2195,8609
28167,2330,7409,2642,12381
28171,1928,4313,737,6978
28172,3113,7655,2557,13325
28176,5095,11350,4867,21312
28177,1741,8567,6608,16916
28180,1898,4510,1351,7759
28181,4997,14119,7386,26502
28901_AM,1357,3690,1628,6675
28903,10529,25079,7964,43572
29001,1493,3189,809,5491
29002_AM,1403,3612,1578,6593
29005,1779,3717,789,6285
29007,9191,19711,11253,40155
29008,5753,11787,8122,25662
29009_AM,1789,3699,1342,6830
29011_AM,1335,3973,1910,7218
29012,2804,7444,3555,13803
29015_AM,11608,26222,7041,44871
29017,2270,4878,2293,9441
29023,1360,4006,2283,7649
2902501,1427,5981,3937,11345
2902502,3924,16909,11114,31947
2902503,3205,13724,9095,26024
29027_AM,1047,2459,888,4394
29028_AM,1057,3161,1456,5674
29031_AM,1395,3313,1324,6032
29032,1887,4732,2458,9077
29038,5333,12925,7732,25990
29039_AM,1469,3992,2351,7812
29040_AM,1415,3285,1599,6299
29041,1437,2959,1507,5903
29042,4373,12912,4946,22231
29045_AM,1735,3817,1656,7208
29046_AM,1678,4372,1825,7875
29049_AM,1251,3003,1104,5358
2905101,6056,16974,4680,27710
2905102,4680,13212,3557,21449
2905103,3870,10925,2985,17780
2905401,11212,24351,7378,42941
2905402,3317,7207,2180,12704
2905403,4597,9997,3031,17625
2906701,658,2364,1219,4241
2906702,11192,36592,18390,66174
2906703,515,1818,938,3271
2906704,2317,8320,4290,14927
2906705,605,2134,1102,3841
2906706,8935,31505,16396,56836
2906707,17789,63022,32766,113577
2906708,16709,58960,30564,106233
2906709,12110,43472,22419,78001
2906710,13505,48482,25002,86989
2906711,3110,10971,5722,19803
29068,3415,7452,4413,15280
2906901,13482,32119,16753,62354
2906902,7600,18177,9500,35277
2906903,5373,12809,6683,24865
2906904,3924,9400,4932,18256
2907001,20509,41607,15445,77561
29072,908,2689,1553,5150
29073_AM,780,2992,1628,5400
29075,4533,11949,4662,21144
29076_AM,1012,2714,1438,5164
29079_AM,1451,4264,2110,7825
29080,2230,5534,1820,9584
29082_AM,9552,25105,13412,48069
29084_AM,7835,22714,8836,39385
29086_AM,1132,2725,1213,5070
29088_AM,1594,5485,2698,9777
29089_AM,984,3040,1999,6023
29091,2485,7914,5022,15421
2909401,6894,17397,5708,29999
2909402_AD,2820,7263,2562,12645
2909403,6072,14914,4587,25573
2909404,3027,7369,2105,12501
29095_AM,1294,3300,1348,5942
29097_AM,2224,5410,2205,9839
