id,area,Y,M,O,Total
06095_AM,503776936.80560464,3243,8916,4603,16762
06103,14280960.353795033,1304,3038,2195,6537
06108_AM,390685134.92240506,923,3689,2459,7071
06109_AM,571797446.9336483,2219,6173,2949,11341
06113_AM,382410701.97674465,522,3031,2560,6113
06117_AM,270564987.2161307,508,2572,2211,5291
06120_AM,222782603.8532971,1276,4492,3053,8821
06121_AM,275834507.2952364,917,4799,3369,9085
06122,108791780.61250408,1530,4138,2662,8330
06123_AM,345175397.92087376,532,4286,3171,7989
06125_AM,868266187.8004947,699,2767,1873,5339
06127_AM,870115456.2812972,1363,4175,2443,7981
06128_AM,120290184.38372065,1831,6395,2410,10636
06149,104555327.60799292,2591,6671,4424,13686
06153,153059687.19616958,3604,14419,8186,26209
06154_AM,406003128.93923604,1006,3148,2158,6312
06155_AM,353275456.177079,1132,4647,2619,8398
06158,62655306.31751718,1718,8117,6974,16809
06162_AM,167643517.83107013,1006,3915,2529,7450
07001,45758603.83958181,779,2882,2297,5958
07002,109984571.32483128,2768,5326,1240,9334
07003,60069113.67420119,2418,9327,8751,20496
07004,89883332.48962978,946,3578,1773,6297
07005,81520044.61815372,637,5836,4916,11389
07006,139926064.87772286,1952,4521,1496,7969
07008,29814886.881429166,644,3760,4013,8417
07010,84849646.64102603,617,3416,3441,7474
07011,145203771.1104181,7293,26203,15890,49386
07012_AM,42973605.34095134,526,2142,1206,3874
07013,149910310.4547701,991,4858,5512,11361
07014,55032572.93472126,1357,6288,4472,12117
07015,186209474.78100538,3661,11523,14270,29454
07016,13704116.634425754,280,2066,2104,4450
07020,35332647.227205634,544,2277,2100,4921
07022,170030297.88499004,1784,7572,8466,17822
07023_AM,97574127.19814196,1093,3332,1778,6203
07024,78701567.38879444,1369,7076,3956,12401
07026,11183426.693127066,5984,21261,21532,48777
07027,58386792.522382535,6096,19665,5283,31044
07029,12116728.338130469,1017,3053,1852,5922
07030_AM,65538244.242256455,420,2335,1780,4535
07031,327761919.1929876,9910,20846,6214,36970
07032,117187092.73493071,6632,16226,5394,28252
07033,260558794.2222353,4773,25603,10374,40750
07036,54306419.818964615,4461,17169,14909,36539
07037,138146279.662875,776,2137,2127,5040
07038_AM,79757259.5541422,925,3020,1807,5752
07039,58750869.89406968,365,4399,2458,7222
0704001,13401372.341387967,1575,11291,8665,21531
0704002,34322087.93339704,8130,57573,44070,109773
0704003,48772419.61949868,6586,44551,34391,85528
0704004,100847460.49078837,10388,73414,55967,139769
0704005,9785944.286992587,2731,18507,13994,35232
07042,151622858.29512846,1127,10961,4535,16623
07043,87038376.38762735,765,2267,2426,5458
07044,48638458.66292874,2056,9301,2265,13622
07045_AM,132078908.68832293,719,3125,1819,5663
07046,126875093.84554484,2333,11038,12234,25605
07047_AM,73182263.3379361,636,3338,1732,5706
07048,159241748.71108085,1672,14198,11160,27030
07050,121681568.45388803,858,3125,2456,6439
07051,82217248.50403042,1397,4970,2837,9204
07052,34669368.439733826,953,3688,2537,7178
07054,153797642.44212797,4913,20911,11120,36944
07055,86662120.42381594,1065,5738,5735,12538
07056,37661531.20691033,1440,4396,2193,8029
07057,124745487.1296059,3393,6994,1498,11885
07058_AM,227821175.58151144,1045,3151,2250,6446
07059,38992184.72119141,606,2665,1993,5264
07060_AM,80649788.65012461,649,3199,3201,7049
07061,42821812.79334414,1578,7979,4962,14519
07062,42651453.49992523,2219,6812,3263,12294
07064,11640217.433735289,763,3312,3338,7413
07065_AM,117233026.10649629,1301,3517,2401,7219
08001,20012498.96179595,1379,6454,4170,12003
08003,9546544.716372821,1020,5800,3202,10022
08005,14258836.801199323,512,3864,4496,8872
08006,6371301.62972714,1901,7113,6520,15534
08007,20993812.863080487,1538,5245,2460,9243
08009,25301312.233300976,1006,8395,2983,12384
08010_AM,80774299.00667839,662,4888,2208,7758
08014_AM,92125119.51816334,822,2707,2087,5616
0801501,546956.137456818,1811,4210,2105,8126
0801502,753437.8701671986,3971,9231,4615,17817
0801503,1132965.4004184545,3809,8854,4427,17090
0801504,2002731.1556235212,5951,13833,6916,26700
0801505,2073228.40076391,2510,5834,2917,11261
0801506,9265125.26113496,1717,4088,2042,7847
0801507,1353994.8096308985,8691,20580,10366,39637
0801508,1477668.581634425,4251,10163,5138,19552
0801509,2539989.955133611,14026,35447,17766,67239
08016_AM,444644911.4150053,689,2614,1884,5187
08017_AM,149712367.32451057,981,3497,2168,6646
08018_AM,66320510.95862248,655,2328,1818,4801
0801901,4377581.527794481,7505,51385,38683,97573
0801902,7486049.6914298525,19367,132595,99818,251780
0801903,23267892.570236173,13379,88726,72537,174642
0801904,6025905.320201174,6125,37918,32619,76662
0801905,19975122.431411143,12283,72723,55527,140533
0801906,4194379.681504205,8924,61097,45994,116015
0801907,11972908.15380892,12757,87338,65749,165844
