id,area
01001_AM,358495702.2542836
01002,96152612.37841056
01010_AM,198919890.01161405
01031_AM,367683172.0369828
01036,37427387.97760106
01043_AM,504044449.7716911
01047_AM,366162855.4707076
01051,37870227.640411034
01058_AM,177264009.9620656
0105901,1422836.3533549355
0105902,7896848.737907109
0105903,3923600.9509709696
0105904,3730751.036349708
0105905,8533119.771270616
0105906,251863499.56466547
01063_AM,224586583.5318098
01901_AM,318580242.748745
0200301,6522615.526599699
0200302,4385991.993223467
0200303,971405.3859352812
0200304,3703678.989229581
0200305,1000449.1573557128
0200306,1789823.1882457794
0200307,5312803.834092675
0200308,1119198370.020846
02008_AM,1464689104.8802173
02009,532675303.98640555
02010_AM,624405950.5472326
02012_AM,680284367.3215404
02021_AM,848678668.7591908
02024_AM,194344744.41076663
02025,141811361.52016476
02029_AM,782865101.3974123
02030_AM,816928552.3446658
02033_AM,566325257.7906635
02037,782500264.8967434
02045_AM,276462635.4927606
02053_AM,977059924.1078746
02063_AM,612657366.3293972
02067_AM,777257762.7108072
02069_AM,655083506.1689365
02073_AM,259600821.19958487
02074,325393506.1183929
02079_AM,401364930.9636315
02081,863578066.670382
02086_AM,1212557702.1834323
03002_AM,137225312.64317977
03005_AM,73487390.15685904
0300901,575471.0835001398
0300902,1346429.4683959177
0300903,726981.5965572814
0300904,432718.030857849
0300905,655928.7879109263
0300906,299250.05491025286
0300907,472687.5751643149
0300908,125560665.98793317
03011,19313834.904424597
0301401,1958862.8066062238
0301402,1557520.3122499504
0301403,2755667.496532971
0301404,52356830.29364662
0301405,1985036.8971341536
0301406,11277549.77334119
0301407,5616768.180658328
0301408,124100335.88499555
03015,25323938.526898533
03018,34486978.20846903
03019,70972055.34643672
03021,50355537.37525185
03024,9131675.636080632
03026_AM,38243920.56941371
03028_AM,283651872.72931623
0303101,804743.4662382723
0303102,12082142.58408471
0303103,7790891.560574391
0303104,17682694.16157599
03035_AM,395399129.84571785
03041,69768061.86227277
03043_AM,174413739.08713776
03044_AM,16321726.174638689
03046_AM,153452346.83715096
